Classe,Region,Level,Year,Pop_Prop,Pop_Bias,Pop_Bias_SE,Global_Acc,Allocation_Tot,Quantity_Tot,Producer_Acc,Producer_stdErr,User_Acc,User_stdErr
3.3. Floresta Plantada,Amazônia,l3,1987,0.00014604297870129756,8.532904825700182e-05,0.00023191385165040906,0.0,0.0002434049645021626,8.532904825700181e-05,0.10520068813073587,0.05160172979458331,0.16666666666666666,0.08265443392474035
2.2. Formação Campestre (Campo),Amazônia,l3,1987,0.029868872902528914,-0.008887812035456145,0.0017402924005712978,0.0,0.0023930348102797275,0.008887812035456147,0.9429715488306096,0.03359982498880853,0.6623799808749327,0.02152232389057651
3.1. Pastagem,Amazônia,l3,1987,0.033255678444911535,0.012434181932946025,0.001977037035515994,0.0,0.005776793782694356,0.012434181932946028,0.6646394036319073,0.018862593967426504,0.9131457535550856,0.02652581673852636
3.2.1. Lavoura Temporária,Amazônia,l3,1987,0.0006629358907997172,6.274127994398688e-05,0.00023191385165040906,0.0,0.0001937081237155889,6.274127994398678e-05,0.7800739113258565,0.06347315177232794,0.8539013150412526,0.0692147265741188
4.2. Infraestrutura Urbana,Amazônia,l3,1987,0.000321871234614753,3.0003461056764914e-05,0.0002882811404644493,0.0,0.00017797364702706105,3.0003461056764887e-05,0.6618390409028582,0.09117319148209148,0.7235328480967285,0.09911835891622954
"5.1. Rio, Lago e Oceano",Amazônia,l3,1987,0.019066057499014136,0.002108303088508079,0.0009201413810441193,0.0,0.001390915268719782,0.0021083030885080817,0.8675869945975992,0.026905949144836887,0.9635237838553751,0.030726445282107714
TOTAL,Amazônia,l3,1987,1.0,0.0,0.009060576394643822,96.71287183330205,1.4573913389170645,1.829736827780877,0.9671287183330535,0.004152384653309266,0.9671287183330532,0.00405602458770829
1.1. Formação Florestal,Amazônia,l3,1988,0.9095859590914855,-0.008289366300507103,0.0024051946617876362,0.0,0.017364108827022884,0.008289366300507028,0.9903671505218645,0.0021415638251302787,0.9813415977408327,0.0020464695858995138
1.2. Formação Savânica,Amazônia,l3,1988,0.0020620785522248723,0.0036138284760293443,0.0012548032042109876,0.0,0.0026359773105144686,0.0036138284760293443,0.13109620951569811,0.010129363408205702,0.3608445935121168,0.030147191028823753
3.3. Floresta Plantada,Amazônia,l3,1988,0.00011984074442611653,0.0001092638807985895,0.00023968628302376978,0.0,0.00019174519108178644,0.00010926388079858951,0.10461660851113469,0.05230920930194798,0.19999999999999998,0.10321497409027128
2.2. Formação Campestre (Campo),Amazônia,l3,1988,0.030038402853679997,-0.009207366553182095,0.0017262451397599113,0.0,0.002535020046799147,0.009207366553182088,0.93915281001314,0.033372502968871905,0.6512838373063369,0.021134483762476536
3.1. Pastagem,Amazônia,l3,1988,0.038292600390194984,0.01175156537417615,0.002011647350685249,0.0,0.006981245552713941,0.011751565374176154,0.6954252725022984,0.01924857831818663,0.90884341254477,0.02566652190078728
3.2.1. Lavoura Temporária,Amazônia,l3,1988,0.0007452981704034109,3.3485355445134516e-05,0.0002494697374256662,0.0,0.0003295001469839757,3.348535544513446e-05,0.7454550303678684,0.0573609032448892,0.7789474333436068,0.057614897203715335
4.2. Infraestrutura Urbana,Amazônia,l3,1988,0.0003175546338525005,2.8937275712583553e-05,0.0002935287362360383,0.0,0.0001764655214906908,2.8937275712583553e-05,0.6618390409028582,0.09092788311792,0.7221493521447769,0.10105871498205932
"5.1. Rio, Lago e Oceano",Amazônia,l3,1988,0.018838265563776567,0.00195965249152739,0.0009053076713203148,0.0,0.001718639215534945,0.001959652491527391,0.8644589284466411,0.026997175715867013,0.954384356412311,0.030522567211514723
TOTAL,Amazônia,l3,1988,1.0,0.0,0.009085882784449573,96.65369162402399,1.5966350906070916,1.7496732853689154,0.9665369162402834,0.004295787201046886,0.966536916240283,0.004203683407844468
1.1. Formação Florestal,Amazônia,l3,1989,0.9066615332381378,-0.008421768437073497,0.0024468609788708333,0.0,0.01869538503710344,0.00842176843707343,0.9895933214216781,0.0021833007805289314,0.9804012188626086,0.0020871744373038184
1.2. Formação Savânica,Amazônia,l3,1989,0.0021409155327479254,0.003517476792069728,0.0012428858229465009,0.0,0.0028032534555962173,0.0035174767920697282,0.1306535076592875,0.01003418713773598,0.345314326343795,0.02864443616788037
3.3. Floresta Plantada,Amazônia,l3,1989,0.00012361351402531505,0.00020098487853632818,0.00026782779850271886,0.0,0.00019174974929471987,0.00020098487853632818,0.08545525798525751,0.03767212964091226,0.2243981137230227,0.10434723713487859
2.2. Formação Campestre (Campo),Amazônia,l3,1989,0.030644023448896666,-0.009788982825031645,0.001758395601122134,0.0,0.002441533237582408,0.009788982825031638,0.9414641936782301,0.033307736239579874,0.6407211519667709,0.02059462493245458
3.1. Pastagem,Amazônia,l3,1989,0.04028073754048255,0.012718895966788449,0.002053038936643708,0.0,0.007249725625806155,0.012718895966788442,0.6916250604365152,0.018643350958292088,0.9100100188269875,0.025057616864583743
3.2.1. Lavoura Temporária,Amazônia,l3,1989,0.0007674859813923112,-4.469571087285738e-05,0.00026782779850271886,0.0,0.00042321530778539223,4.46957108728573e-05,0.7072350548650604,0.06184594358795679,0.666048148136089,0.05184757724861393
4.2. Infraestrutura Urbana,Amazônia,l3,1989,0.000352700827860161,-3.5038068194685046e-06,0.00030141257954575734,0.0,0.00023941864740810047,3.503806819468518e-06,0.6571868701878177,0.08994571330200733,0.6506582327264331,0.08759024804374763
"5.1. Rio, Lago e Oceano",Amazônia,l3,1989,0.019028989916498835,0.0018215931424029612,0.0009306377995779898,0.0,0.0017610252561705078,0.0018215931424029642,0.8704062249552016,0.02714731036347326,0.953727831485064,0.03056972405471824
TOTAL,Amazônia,l3,1989,1.0,0.0,0.009268887315712362,96.48383960618291,1.690265315837347,1.8258950779797427,0.9648383960618703,0.004355005891302677,0.9648383960618698,0.004259422692597019
1.1. Formação Florestal,Amazônia,l3,1990,0.9055522850177113,-0.008779313511033239,0.002465026015748835,0.0,0.017567866211695815,0.008779313511033116,0.9902049533327367,0.0022046662243936114,0.9806049336880217,0.002105499900061821
1.2. Formação Savânica,Amazônia,l3,1990,0.0022864925707106053,0.003382482636155296,0.0012401097968849507,0.0,0.002954965216749542,0.0033824826361552973,0.14270832607558648,0.010249553266544443,0.3538213824523414,0.027337314215693458
3.3. Floresta Plantada,Amazônia,l3,1990,0.00017874528057323919,0.0001263730273984063,0.0003016582227772299,0.0,0.0003499340636907166,0.00012637302739840623,0.012382897483267418,0.0077233550538546095,0.021137613903785282,0.013261095249796967
2.2. Formação Campestre (Campo),Amazônia,l3,1990,0.030046106748092483,-0.00911466802183045,0.001729427604181683,0.0,0.002352109124336657,0.00911466802183045,0.9438139643648685,0.03330746109824481,0.6575022957125016,0.02114400335899569
3.1. Pastagem,Amazônia,l3,1990,0.04189385107362581,0.012431945547405555,0.0020875267720502906,0.0,0.007476084860324611,0.012431945547405579,0.7023515717520483,0.018770543299185934,0.9107734826384678,0.024870308320034354
3.2.1. Lavoura Temporária,Amazônia,l3,1990,0.0008166367391423925,-4.21164970829922e-05,0.00028534847923762847,0.0,0.0004317067166963544,4.211649708299209e-05,0.7213070148118573,0.05905372543556613,0.6841069681703502,0.04990996220769516
4.2. Infraestrutura Urbana,Amazônia,l3,1990,0.00039967427086448474,-4.945966983900188e-05,0.00030949026874990264,0.0,0.00024026899353338417,4.945966983900183e-05,0.6569689087350453,0.08959092645902902,0.5756690410947237,0.07405067754526332
"5.1. Rio, Lago e Oceano",Amazônia,l3,1990,0.01882620829931397,0.002044756488826422,0.000926290206565382,0.0,0.0015577712229289664,0.002044756488826422,0.8647095556456793,0.02696638710924315,0.9586275898427797,0.030683329540005338
TOTAL,Amazônia,l3,1990,1.0,0.0,0.009344877366195903,96.55490890952365,1.6465353204978022,1.798555769978563,0.9655490890952704,0.004394372752552955,0.9655490890952697,0.0042967303571547
1.1. Formação Florestal,Amazônia,l3,1991,0.9035136636269283,-0.00892094903078253,0.002454028196136601,0.0,0.016839731978272265,0.008920949030782555,0.9905880454292124,0.0022310938338524983,0.9808073571900295,0.0021345212266032578
1.2. Formação Savânica,Amazônia,l3,1991,0.002308580281204822,0.003331578793233261,0.0012456891571737602,0.0,0.0030097605834193794,0.0033315787932332607,0.14249597908286007,0.010289088650343626,0.34813603669684406,0.02678391552533725
3.3. Floresta Plantada,Amazônia,l3,1991,0.0001782672132916216,0.00012794218036082312,0.0003094679805159925,0.0,0.00034899813953071917,0.00012794218036082312,0.012305773775637248,0.007626152703845501,0.021137613903785282,0.013165760941316648
2.2. Formação Campestre (Campo),Amazônia,l3,1991,0.029372070168502493,-0.008418066886922608,0.0017185876992653912,0.0,0.002629093927435114,0.008418066886922607,0.9372651160710116,0.03313425660939394,0.6686439261922688,0.02168665153821271
3.1. Pastagem,Amazônia,l3,1991,0.04382595941654596,0.01254364896000292,0.0020841007205012058,0.0,0.007228931952588599,0.012543648960002943,0.7133541388408968,0.01884592177551616,0.9175268260087489,0.024932877364536952
3.2.1. Lavoura Temporária,Amazônia,l3,1991,0.0009479723145415949,-0.0001501955002041062,0.00030163650143019515,0.0,0.00043497720191254616,0.0001501955002041061,0.7273816472883009,0.05733685461118112,0.6121362454153758,0.04421560768552616
4.2. Infraestrutura Urbana,Amazônia,l3,1991,0.0004637796921514467,-7.426007708086281e-05,0.00029359571866287857,0.0,0.00018976099512908707,7.426007708086278e-05,0.7564166375874283,0.09319518405331231,0.6352997392775585,0.06964080920071031
"5.1. Rio, Lago e Oceano",Amazônia,l3,1991,0.0193897072868674,0.0015603015613930994,0.0009133346025311048,0.0,0.0017927891041218807,0.0015603015613931022,0.8827353185744353,0.02747266594900888,0.9537695675958934,0.03048547188783715
TOTAL,Amazônia,l3,1991,1.0,0.0,0.009320440576217129,96.61995065638051,1.6237021941204794,1.756347149499013,0.9661995065638384,0.004470516097517739,0.9661995065638379,0.004387755599919017
1.1. Formação Florestal,Amazônia,l3,1992,0.8993888637677573,-0.008187723632774157,0.002455911469806978,0.0,0.017848993815168246,0.00818772363277398,0.9899859902488091,0.0022813702904702286,0.9809735018636192,0.0021891153743101885
1.2. Formação Savânica,Amazônia,l3,1992,0.002150998559836378,0.0034076486482178332,0.0012400557234116469,0.0,0.0028552771117067556,0.003407648648217833,0.13013238237801578,0.009772896096019366,0.33629032463788583,0.026973131428619474
3.3. Floresta Plantada,Amazônia,l3,1992,0.0001784601706511904,0.0002006671227478512,0.0003171154276391438,0.0,0.00034937589693352384,0.00020066712274785118,0.009949751046960711,0.006157500594032838,0.021137613903785282,0.013183575490755483
2.2. Formação Campestre (Campo),Amazônia,l3,1992,0.029890582090178964,-0.008869870961418332,0.0017544910466012118,0.0,0.002698811736322769,0.008869870961418332,0.9358058887781812,0.033104441318553245,0.658110477783655,0.021278706217002202
3.1. Pastagem,Amazônia,l3,1992,0.04782564775392827,0.011817614182237132,0.0020982421666543615,0.0,0.008336836891053967,0.01181761418223714,0.7319725295227215,0.018936605745524845,0.9128413593690508,0.02416037418180035
3.2.1. Lavoura Temporária,Amazônia,l3,1992,0.0009899588489912766,-6.279214191773108e-05,0.0003016457880596478,0.0,0.0006565777221149253,6.279214191773103e-05,0.6459225093471547,0.05047361320441164,0.6049522630423602,0.04341119823036345
4.2. Infraestrutura Urbana,Amazônia,l3,1992,0.000464442160343514,-7.105653901067671e-05,0.00029360475723139645,0.0,0.00019653422854624492,7.105653901067676e-05,0.7502015606463149,0.09226316675663733,0.6354257478292608,0.06979733725737616
"5.1. Rio, Lago e Oceano",Amazônia,l3,1992,0.019111046648344482,0.0017655133219180844,0.0009185402849319893,0.0,0.001572869130242717,0.0017655133219180857,0.8777601343001654,0.027253706671230917,0.9588492153469008,0.030360621779732536
TOTAL,Amazônia,l3,1992,1.0,0.0,0.009379606664336376,96.55509184588345,1.7257638266044575,1.7191443275120815,0.9655509184588659,0.004567194295432185,0.9655509184588652,0.004476371744361188
1.1. Formação Florestal,Amazônia,l3,1993,0.8945762443429609,-0.008672811265002009,0.0024660982269905873,0.0,0.01802147556963596,0.008672811265002078,0.9898287584759531,0.002356632014749129,0.980232485311737,0.0022639473153146035
1.2. Formação Savânica,Amazônia,l3,1993,0.0020130362071616326,0.0035206301805312413,0.0012221269333479903,0.0,0.002571816438958342,0.0035206301805312396,0.13140076338892195,0.010121932226608418,0.3612095923042076,0.029964835310859694
3.3. Floresta Plantada,Amazônia,l3,1993,0.000202244908450496,0.00015255060912766969,0.00030928769673379847,0.0,0.00039695277423713643,0.00015255060912766969,0.01062167120275847,0.006595993510700613,0.01863345466049257,0.011590598526434447
2.2. Formação Campestre (Campo),Amazônia,l3,1993,0.02948855434356916,-0.008618162719177253,0.0017375985547105905,0.0,0.00262132999476674,0.008618162719177251,0.9371997890134675,0.033273661404227,0.6632989328374485,0.021491590724252156
3.1. Pastagem,Amazônia,l3,1993,0.05289126021343375,0.012049222867135941,0.0021173390247407444,0.0,0.008759407341083755,0.012049222867135945,0.7470156401932679,0.01864217670214056,0.9171941894961791,0.02344567944717702
3.2.1. Lavoura Temporária,Amazônia,l3,1993,0.0010904842502475938,-9.487364025787898e-05,0.00032437416066531953,0.0,0.0007021692519216592,9.487364025787914e-05,0.6473675326095042,0.051638443808164625,0.5910456605701054,0.04202547636869669
4.2. Infraestrutura Urbana,Amazônia,l3,1993,0.00046533444209223936,-7.0986826847068e-05,0.0002934246761299778,0.0,0.00019634141270570603,7.098682684706801e-05,0.75105540757025,0.09216524215886912,0.6364818120073941,0.06968795911572086
"5.1. Rio, Lago e Oceano",Amazônia,l3,1993,0.019272841292114155,0.0017344307944893518,0.0009102054727095993,0.0,0.0016424915095611184,0.001734430794489348,0.8783432451993768,0.027215660353525264,0.9573884440631707,0.030490637217451367
TOTAL,Amazônia,l3,1993,1.0,0.0,0.009380454746028607,96.50871734022807,1.7455992146435209,1.745683445128424,0.9650871734023102,0.004710650030489824,0.9650871734023099,0.004627662937860226
1.1. Formação Florestal,Amazônia,l3,1994,0.8886048384616311,-0.00816811666109948,0.0024502536010192334,0.0,0.017748699419520397,0.00816811666109929,0.9899205138881395,0.0024326345377718495,0.9808210965851092,0.0023412043703605633
1.2. Formação Savânica,Amazônia,l3,1994,0.0018493357281774573,0.0035885186973372346,0.0012048688422032305,0.0,0.0022448269274361154,0.003588518697337232,0.13367813986498853,0.0104137230687186,0.39307209252686115,0.03343370545928621
3.3. Floresta Plantada,Amazônia,l3,1994,0.00020218768816036942,0.0001285544059446148,0.00030933093246186973,0.0,0.00039684046608024675,0.00012855440594461477,0.011390915119047981,0.007137290300541503,0.01863345466049257,0.01166801280265954
2.2. Formação Campestre (Campo),Amazônia,l3,1994,0.029756515882071163,-0.008895090193142613,0.0017575966153409522,0.0,0.00260592084992934,0.008895090193142607,0.9375421198726522,0.03328341340924033,0.657283444791606,0.021262668057357513
3.1. Pastagem,Amazônia,l3,1994,0.05874143059282299,0.011588363842670988,0.0021101473267817203,0.0,0.008530319622518781,0.011588363842670986,0.7745831083230145,0.018486840643187886,0.9273909442072643,0.022605335329421328
3.2.1. Lavoura Temporária,Amazônia,l3,1994,0.0012336428372517988,-0.00010689897952292346,0.00033170587401030224,0.0,0.0007400523737048222,0.00010689897952292351,0.6715968901767473,0.05389759057136052,0.613400935851266,0.04245037385260453
4.2. Infraestrutura Urbana,Amazônia,l3,1994,0.0004652027870014566,-3.2421494540794336e-05,0.00030933093246186973,0.0,0.00027337635927817067,3.242149454079431e-05,0.6841633822434466,0.0806768167357906,0.6364818120073941,0.06965711156425018
"5.1. Rio, Lago e Oceano",Amazônia,l3,1994,0.019146846022915883,0.0018970903823529697,0.0009155220356869934,0.0,0.0017355729437655912,0.0018970903823529693,0.8686140843144015,0.027005049464670392,0.954677314955989,0.030583477982318058
TOTAL,Amazônia,l3,1994,1.0,0.0,0.00938875615996617,96.56596681905776,1.7137804481116732,1.7202527328305708,0.9656596681906096,0.004859221587594903,0.965659668190609,0.0047755178877685565
1.1. Formação Florestal,Amazônia,l3,1995,0.8842778440591762,-0.008565917788308255,0.002449942652886085,0.0,0.017234941412544336,0.008565917788308286,0.9901594686017707,0.0024996560489157164,0.9805678852975637,0.00241226675148272
1.2. Formação Savânica,Amazônia,l3,1995,0.0018208267006772558,0.0034579243808603513,0.001194470791500764,0.0,0.002147613721763546,0.0034579243808603496,0.14151450376362304,0.010715190543952256,0.41026410669265184,0.03422449691076328
3.3. Floresta Plantada,Amazônia,l3,1995,0.00020408123542350607,0.00012663938473371795,0.0003013502621085978,0.0,0.0003968147005923043,0.000126639384733718,0.017156127503197654,0.021280308109126858,0.02780209123871473,0.034489092098598094
2.2. Formação Campestre (Campo),Amazônia,l3,1995,0.030004907135078033,-0.009048799984190371,0.0017289985960156303,0.0,0.002333868376124454,0.009048799984190371,0.9443153167876032,0.03336919427760035,0.6595312184682741,0.02125943933655168
3.1. Pastagem,Amazônia,l3,1995,0.06329605992882553,0.011906471728012891,0.0021272015526615983,0.0,0.008378079007661868,0.011906471728012902,0.7859711518052299,0.01828074017792871,0.9338183212582046,0.022302866256133095
3.2.1. Lavoura Temporária,Amazônia,l3,1995,0.0012769154059908395,-2.7115054213031498e-05,0.00036577708378738997,0.0,0.0009862636239593543,2.7115054213031498e-05,0.6054315305014837,0.04814144005186808,0.5925753078458507,0.04098686008275937
4.2. Infraestrutura Urbana,Amazônia,l3,1995,0.0004651725829829056,-2.076834741270318e-05,0.00031680475352796606,0.0,0.0002966606941141655,2.0768347412703154e-05,0.6662265226460674,0.0773763418294466,0.6364818120073941,0.06800982887931656
"5.1. Rio, Lago e Oceano",Amazônia,l3,1995,0.018654192951880887,0.002171565680517399,0.0009020344714619786,0.0,0.001383811026771875,0.0021715656805173997,0.8625033908993512,0.026923525457556684,0.962908847615615,0.03098504839757034
TOTAL,Amazônia,l3,1995,1.0,0.0,0.00938658016395001,96.57583725441097,1.6579026281765952,1.7662601174124382,0.9657583725441446,0.004981882032205822,0.9657583725441442,0.004914014691065621
1.1. Formação Florestal,Amazônia,l3,1996,0.87856587000348,-0.006607695800007363,0.0024142458466469762,0.0,0.018493102095664238,0.006607695800007418,0.9893956484136647,0.0025564606542426657,0.9819544016115976,0.002487608528107506
1.2. Formação Savânica,Amazônia,l3,1996,0.0019569019338944414,0.0033224719441495437,0.0012002331116745097,0.0,0.002419587918720826,0.003322471944149542,0.14151450376362304,0.010722510666839546,0.3817809986253144,0.0315494913281491
3.3. Floresta Plantada,Amazônia,l3,1996,0.0002280596266330572,0.00010270001253522449,0.00029328716982370386,0.0,0.00039686151750134037,0.00010270001253522449,0.0895782446639828,0.05047604276052785,0.1299171989352556,0.07339498153770527
2.2. Formação Campestre (Campo),Amazônia,l3,1996,0.029544344991776033,-0.008774311712828546,0.0017261584578620456,0.0,0.0023430069555882213,0.008774311712828543,0.9435964563917406,0.03349099476213045,0.6633597667035371,0.02143359309054233
3.1. Pastagem,Amazônia,l3,1996,0.06824332126919666,0.010399556028804196,0.002107812553752066,0.0,0.0099847608291658,0.0103995560288042,0.8042806040137295,0.018294725519682455,0.9268444102406788,0.02155518072522548
3.2.1. Lavoura Temporária,Amazônia,l3,1996,0.0016966229820020197,-0.0002211201555273926,0.00043157414031078117,0.0,0.0012057989264962212,0.0002211201555273926,0.5913938947249601,0.04798900906698683,0.5143177786009019,0.037120672200663674
4.2. Infraestrutura Urbana,Amazônia,l3,1996,0.0004878644914185977,-2.4211015617358673e-05,0.0003091427600646769,0.0,0.0002898152588384833,2.4211015617358646e-05,0.6874656678269759,0.07529460293712403,0.6533491409779749,0.06558380124872921
"5.1. Rio, Lago e Oceano",Amazônia,l3,1996,0.019277014701628334,0.0018026106984916945,0.0009201233519683483,0.0,0.0016107825691757394,0.0018026106984916947,0.8762785422617282,0.027232705472085516,0.9582201239634979,0.03058012622978788
TOTAL,Amazônia,l3,1996,1.0,0.0,0.009402577392103107,96.60008032804441,1.8371858035575437,1.562733868398069,0.9660008032804724,0.005116563027769912,0.9660008032804724,0.005052713571645795
1.1. Formação Florestal,Amazônia,l3,1997,0.8729976689939517,-0.006501145828955824,0.0024075398115265597,0.0,0.01921981080764068,0.00650114582895589,0.9889094703245672,0.0026188136152386007,0.9815451383148096,0.0025591620134490776
1.2. Formação Savânica,Amazônia,l3,1997,0.0021804049370791902,0.0030909822163055992,0.0011966366092892571,0.0,0.002843216591761571,0.003090982216305598,0.14394629328471478,0.010782461484672181,0.34800721108936195,0.027774210732713595
3.3. Floresta Plantada,Amazônia,l3,1997,0.00023310900948256066,0.00021419047645698135,0.000316858201209105,0.0,0.00040124895008054656,0.00021419047645698138,0.07262367935445843,0.03891490300201628,0.1393534060068906,0.07569442886845913
2.2. Formação Campestre (Campo),Amazônia,l3,1997,0.030056542290186287,-0.009173681692110412,0.001759625596352971,0.0,0.002478581233966687,0.00917368169211041,0.9406551314575392,0.033404374076862586,0.6535538849226283,0.021134747674990653
3.1. Pastagem,Amazônia,l3,1997,0.07313987919969049,0.010522691622160331,0.0021147909733288434,0.0,0.010551327907389885,0.010522691622160366,0.8111657887074023,0.017820328406151918,0.9278688451304239,0.020868352223953474
3.2.1. Lavoura Temporária,Amazônia,l3,1997,0.0019382203958675838,-0.00026948497512082866,0.0004479671889340491,0.0,0.0012933146720350073,0.00026948497512082844,0.6124866003454724,0.04994500599648102,0.5273281030931214,0.03798396288063438
4.2. Infraestrutura Urbana,Amazônia,l3,1997,0.0004876901961279428,2.3442575201033326e-05,0.0003243099539304547,0.0,0.00033811645084874263,2.3442575201033326e-05,0.6233839592697394,0.06740267736273112,0.6533491409779749,0.06561138726602282
"5.1. Rio, Lago e Oceano",Amazônia,l3,1997,0.018966484977652253,0.0020930056060631187,0.0009177965770950142,0.0,0.0014733770334256838,0.0020930056060631183,0.8656333062033296,0.027109281335888892,0.9611584055990944,0.03100400961598688
TOTAL,Amazônia,l3,1997,1.0,0.0,0.009485524911666255,96.47561906802385,1.9299496823574402,1.5944312496187112,0.9647561906802761,0.005220615784938769,0.9647561906802756,0.0051675491544269135
1.1. Formação Florestal,Amazônia,l3,1998,0.8674077722049375,-0.005543312456802426,0.0023954669168663647,0.0,0.019670283535744293,0.005543312456802507,0.9885885284436176,0.002683895461135591,0.9822707903739624,0.002635523376145416
1.2. Formação Savânica,Amazônia,l3,1998,0.0019353436946857932,0.0033332964919454877,0.001186738064434751,0.0,0.00249190190325494,0.0033332964919454847,0.13084832492596438,0.010540443523197392,0.35621204902845316,0.03127005411342969
3.3. Floresta Plantada,Amazônia,l3,1998,0.0002771789477548559,0.00023500775026847318,0.00030921617162020363,0.0,0.0004014701201809335,0.00023500775026847318,0.14925004487505703,0.03989531597168486,0.2757925458754468,0.07685194289093122
2.2. Formação Campestre (Campo),Amazônia,l3,1998,0.030107402558524097,-0.009185817692798113,0.001743811991198036,0.0,0.0024273865213625054,0.00918581769279811,0.9419884646182067,0.03335706761100574,0.654586245583147,0.02108630576335769
3.1. Pastagem,Amazônia,l3,1998,0.07845493233482757,0.009370455706262503,0.0021179230661120593,0.0,0.011721357648039193,0.009370455706262534,0.8265748108832027,0.017681580775854626,0.9252987842879323,0.020211489396457956
3.2.1. Lavoura Temporária,Amazônia,l3,1998,0.0025279564478237577,-0.00043627387228101157,0.00046365425755015295,0.0,0.001219768508293233,0.00043627387228101135,0.7084240882064218,0.05400818446746299,0.5861644976802374,0.041779328232247434
4.2. Infraestrutura Urbana,Amazônia,l3,1998,0.0005720423814237065,-4.333938153234311e-05,0.00030139106098866765,0.0,0.00025162405898667653,4.333938153234314e-05,0.7620364750735481,0.07733995638673617,0.7043026591758895,0.06524960834718999
